company_name,occupation,region,rating,recommend,pros,cons,burnout_exhaustion_flag,burnout_exhaustion_terms,compassion_fatigue_flag,compassion_fatigue_terms,management_frustration_flag,management_frustration_terms,fulfillment_purpose_flag,fulfillment_purpose_terms,salary_dissatisfaction_flag,salary_dissatisfaction_terms,turnover_instability_flag,turnover_instability_terms,job_satisfaction_flag,job_satisfaction_terms,team_support_flag,team_support_terms,pride_recognition_flag,pride_recognition_terms,healthy_balance_flag,healthy_balance_terms,pros_sentiment,cons_sentiment,invisible_labor_score,positive_experience_score
Intermountain Health,Nurse,West,2.0,negative,I had great co-workers here and was paid well.,Extremely money hungry. The higher up and big wigs only care about money. Seriously. They're all about doing favors to people and don't care about stepping on anyone's toes while they're at it. They ask for advice from employees then don't follow it. They have fired multiple friends of mine then replaced them with family friends... Seems sketchy? Yeah. It is. All they care about it making money. It has been declining for the past 10 years and will continue. Stay away.,0,,0,,1,"money hungry, don't follow it",0,,0,,0,,0,,1,great co-workers,0,,0,,0.1111111111111111,0.0,1.0,0.75
Intermountain Health,Nurse,,5.0,positive,Transparent leadership culture of safety,"Pay could be more competitive especially since it is difficult to obtain staff in our area Advance is difficult, people stay in their positions for a long time",0,,0,,1,leadership,0,,1,pay could be more competitive,1,"advance is difficult, stay in their positions for a long time",0,,0,,0,,0,,0.0,-0.07142857142857142,0.5,0.0
Intermountain Health,Nurse,West,3.0,positive,"Very nice people, hard working","Very matrixed, unwelcoming to ideas from outside Utah. Only benchmark against themselves.",0,,0,,1,unwelcoming,0,,0,,0,,0,,0,,0,,0,,0.0,0.0,0.5,0.0
Intermountain Health,Nurse,West,3.1,positive,"Great Benefits, supportive environment, average pay",Don't listen well to employees,0,,0,,1,don't listen,0,,0,,0,,0,,0,,0,,0,,0.3333333333333333,0.0,0.5,0.0
Intermountain Health,Nurse,West,4.0,,401k,CNA: patient ratio was 12:1,0,,1,patient ratio,0,,0,,0,,0,,0,,0,,0,,0,,0.0,0.0,0.75,0.0
Intermountain Health,Nurse,West,5.0,positive,"They create an inclusive and supportive environment that focuses on helping employees grow both professionally and personally. By fostering a culture of collaboration, continuous learning, and mentorship, they ensure that every team member feels valued, empowered, and equipped with the resources needed to succeed.",they are of people so you may feel small,0,,0,,0,,1,empowered,0,,0,,0,,1,"collaboration, mentorship",1,valued,0,,0.022727272727272728,0.0,-0.5,2.75
Intermountain Health,Nurse,,4.0,,Good company to work for. Very flexible and decent pay.,In float pool expect to be sitting a lot.,1,sitting a lot,0,,0,,0,,0,,0,,1,good company to work for,0,,0,,1,"flexible, decent pay",0.2,0.0,1.0,2.0
Intermountain Health,Nurse,West,4.0,,Lots of hours to work,Not enough employees for patient amount,1,not enough employees,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,0.0,1.0,0.0
Intermountain Health,Nurse,West,4.0,,Training and opportunity for advancement,I can't say I feel there are any Cons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,0.0,0.0,0.0
Intermountain Health,Nurse,West,4.0,positive,"Great management, teamwork, communication, and transitions to day shift after only a few months.",I don't have any cons to say.,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.07142857142857142,0.0,0.0,0.0
Intermountain Health,Nurse,West,3.0,,Learned some good things while I worked at Cedar City hospital. Had some positive experiences.,"Management is not concerned about employees just about how things look to corporate, making sure we get all good results on patient evaluations that type of thing and saving money! We would be staffed very lean to save $ but then those working would be swamped with patients and expected to give top quality care! Of course we wanted to but it’s physically impossible to meet the needs of every patient when you have too many!",0,,0,,0,,0,,0,,0,,1,positive experience,0,,0,,0,,0.06666666666666667,0.013157894736842105,0.0,1.0
Intermountain Health,Nurse,West,2.0,negative,They didn't reduce base pay just differential pay.,"Micro management to the nth degree. Low morale, willing to work is understaffed",1,understaffed,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,0.0,1.0,0.0
Intermountain Health,Nurse,West,5.0,positive,"Easy scheduling, friendly environment, cafeteria is good","Can be exhausting, pay is not the best for the job",1,exhausting,0,,0,,0,,1,pay is,0,,0,,0,,0,,0,,0.2857142857142857,0.0,1.0,0.0
Intermountain Health,Nurse,West,4.0,positive,"Tuition reimbursement, organized, and good quality workers",My pay never dramatically increased after working there longer than other CNAs.,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.14285714285714285,0.0,0.0,0.0
Intermountain Health,Nurse,,4.0,positive,great flexibility for hours while being a student,short staffed at times and needing to be in two places at once,1,short staffed,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.125,0.0,1.0,0.0
Intermountain Health,Nurse,West,3.0,,"Nice benefits, opportunities for advancements",Low base pay and low raises,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,0.0,0.0,0.0
Intermountain Health,Nurse,West,5.0,positive,"The management and coworkers are great! The patients are rarely a problem. Everyone works together and makes a great team. You normally hear about how awful coworkers in hospitals are, but they are so great here it makes me hesitant to work elsewhere.",It's hospital work. You will probably wipe a butt at some point if that is your scope of practice. It's also in Butte (if that is your location).,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.046511627906976744,0.0,0.0,0.0
Intermountain Health,Nurse,West,1.0,negative,"Patients, the work is rewarding",Some staff are uncomfortable with teammates of a different race. Management does nothing about this even if you complain about the issue.,0,,0,,0,,1,rewarding,0,,0,,0,,0,,0,,0,,0.2,0.0,-0.5,0.5
Intermountain Health,Nurse,West,3.0,positive,Learning opportunities are great a lot of nurses assist with teaching you things.,"Pay needs to be better, as a CNA I have opportunities to make more elsewhere, I have only stayed because of the learning environment",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.07692307692307693,0.0,0.0,0.0
Intermountain Health,Nurse,,3.0,,Learning is good for entry level,Short handed so could be floated out of your unit a lot,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.16666666666666666,0.0,0.0,0.0
Intermountain Health,Nurse,,4.0,,"Good pay, clear schedule and job duties",I worked during Covid and would be moved around too different floors each day.,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.14285714285714285,0.0,0.0,0.0
Intermountain Health,Nurse,,4.0,,Good pay and the coworkers are great,Short staffed and CNA work is hard,1,short staffed,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.2857142857142857,0.0,1.0,0.0
